REF_DATE,GEO,DGUID,Inequality measures (5),Coordinate,Year (2):2020[1],Symbol,Year (2):2015[2],Symbol
2021,Ferryland,2021A00051001149,Gini index on adjusted household after-tax income,14.4,0.279,,0.294,
2021,Ferryland,2021A00051001149,P90/P10 ratio on adjusted household after-tax income,14.5,3.9,,4.0,
2021,"Division No.  1, Subd. W",2021A00051001155,Total - Population in private households,15.1,460,,435,
2021,"Division No.  1, Subd. W",2021A00051001155,Gini index on adjusted household market income,15.2,0.476,,0.546,
2021,"Division No.  1, Subd. W",2021A00051001155,Gini index on adjusted household total income,15.3,0.303,,0.408,
2021,"Division No.  1, Subd. W",2021A00051001155,Gini index on adjusted household after-tax income,15.4,0.271,,0.364,
2021,"Division No.  1, Subd. W",2021A00051001155,P90/P10 ratio on adjusted household after-tax income,15.5,3.6,,4.7,
2021,St. Vincent's-St. Stephen's-Peter's River,2021A00051001169,Total - Population in private households,16.1,260,,315,
2021,St. Vincent's-St. Stephen's-Peter's River,2021A00051001169,Gini index on adjusted household market income,16.2,0.604,,0.584,
2021,St. Vincent's-St. Stephen's-Peter's River,2021A00051001169,Gini index on adjusted household total income,16.3,0.292,,0.376,
2021,St. Vincent's-St. Stephen's-Peter's River,2021A00051001169,Gini index on adjusted household after-tax income,16.4,0.252,,0.324,
2021,St. Vincent's-St. Stephen's-Peter's River,2021A00051001169,P90/P10 ratio on adjusted household after-tax income,16.5,2.9,,3.9,
2021,Gaskiers-Point La Haye,2021A00051001174,Total - Population in private households,17.1,,x,,x
2021,Gaskiers-Point La Haye,2021A00051001174,Gini index on adjusted household market income,17.2,,x,,x
2021,Gaskiers-Point La Haye,2021A00051001174,Gini index on adjusted household total income,17.3,,x,,x
2021,Gaskiers-Point La Haye,2021A00051001174,Gini index on adjusted household after-tax income,17.4,,x,,x
2021,Gaskiers-Point La Haye,2021A00051001174,P90/P10 ratio on adjusted household after-tax income,17.5,,x,,x
2021,St. Mary's,2021A00051001178,Total - Population in private households,18.1,310,,345,
2021,St. Mary's,2021A00051001178,Gini index on adjusted household market income,18.2,0.584,,0.512,
2021,St. Mary's,2021A00051001178,Gini index on adjusted household total income,18.3,0.304,,0.338,
2021,St. Mary's,2021A00051001178,Gini index on adjusted household after-tax income,18.4,0.262,,0.296,
2021,St. Mary's,2021A00051001178,P90/P10 ratio on adjusted household after-tax income,18.5,2.6,,4.1,
2021,Riverhead,2021A00051001181,Total - Population in private households,19.1,,x,,x
2021,Riverhead,2021A00051001181,Gini index on adjusted household market income,19.2,,x,,x
2021,Riverhead,2021A00051001181,Gini index on adjusted household total income,19.3,,x,,x
2021,Riverhead,2021A00051001181,Gini index on adjusted household after-tax income,19.4,,x,,x
2021,Riverhead,2021A00051001181,P90/P10 ratio on adjusted household after-tax income,19.5,,x,,x
2021,Admirals Beach,2021A00051001186,Total - Population in private households,20.1,,x,,x
2021,Admirals Beach,2021A00051001186,Gini index on adjusted household market income,20.2,,x,,x
2021,Admirals Beach,2021A00051001186,Gini index on adjusted household total income,20.3,,x,,x
2021,Admirals Beach,2021A00051001186,Gini index on adjusted household after-tax income,20.4,,x,,x
2021,Admirals Beach,2021A00051001186,P90/P10 ratio on adjusted household after-tax income,20.5,,x,,x
2021,St. Joseph's,2021A00051001192,Total - Population in private households,21.1,,x,,x
2021,St. Joseph's,2021A00051001192,Gini index on adjusted household market income,21.2,,x,,x
2021,St. Joseph's,2021A00051001192,Gini index on adjusted household total income,21.3,,x,,x
2021,St. Joseph's,2021A00051001192,Gini index on adjusted household after-tax income,21.4,,x,,x
2021,St. Joseph's,2021A00051001192,P90/P10 ratio on adjusted household after-tax income,21.5,,x,,x
2021,Mount Carmel-Mitchells Brook-St. Catherine's,2021A00051001197,Total - Population in private households,22.1,380,,340,
2021,Mount Carmel-Mitchells Brook-St. Catherine's,2021A00051001197,Gini index on adjusted household market income,22.2,0.514,,0.504,
2021,Mount Carmel-Mitchells Brook-St. Catherine's,2021A00051001197,Gini index on adjusted household total income,22.3,0.310,,0.350,
2021,Mount Carmel-Mitchells Brook-St. Catherine's,2021A00051001197,Gini index on adjusted household after-tax income,22.4,0.273,,0.304,
2021,Mount Carmel-Mitchells Brook-St. Catherine's,2021A00051001197,P90/P10 ratio on adjusted household after-tax income,22.5,3.4,,4.1,
2021,"Division No.  1, Subd. X",2021A00051001203,Total - Population in private households,23.1,540,,505,
2021,"Division No.  1, Subd. X",2021A00051001203,Gini index on adjusted household market income,23.2,0.514,,0.466,
2021,"Division No.  1, Subd. X",2021A00051001203,Gini index on adjusted household total income,23.3,0.322,,0.336,
2021,"Division No.  1, Subd. X",2021A00051001203,Gini index on adjusted household after-tax income,23.4,0.274,,0.295,
2021,"Division No.  1, Subd. X",2021A00051001203,P90/P10 ratio on adjusted household after-tax income,23.5,3.2,,3.6,
2021,Colinet,2021A00051001207,Total - Population in private households,24.1,,x,,x
2021,Colinet,2021A00051001207,Gini index on adjusted household market income,24.2,,x,,x
2021,Colinet,2021A00051001207,Gini index on adjusted household total income,24.3,,x,,x
2021,Colinet,2021A00051001207,Gini index on adjusted household after-tax income,24.4,,x,,x
2021,Colinet,2021A00051001207,P90/P10 ratio on adjusted household after-tax income,24.5,,x,,x
2021,"Division No.  1, Subd. C",2021A00051001214,Total - Population in private households,25.1,,x,,x
2021,"Division No.  1, Subd. C",2021A00051001214,Gini index on adjusted household market income,25.2,,x,,x
2021,"Division No.  1, Subd. C",2021A00051001214,Gini index on adjusted household total income,25.3,,x,,x
2021,"Division No.  1, Subd. C",2021A00051001214,Gini index on adjusted household after-tax income,25.4,,x,,x
2021,"Division No.  1, Subd. C",2021A00051001214,P90/P10 ratio on adjusted household after-tax income,25.5,,x,,x
2021,Branch,2021A00051001219,Total - Population in private households,26.1,,x,,x
2021,Branch,2021A00051001219,Gini index on adjusted household market income,26.2,,x,,x
2021,Branch,2021A00051001219,Gini index on adjusted household total income,26.3,,x,,x
2021,Branch,2021A00051001219,Gini index on adjusted household after-tax income,26.4,,x,,x
2021,Branch,2021A00051001219,P90/P10 ratio on adjusted household after-tax income,26.5,,x,,x
2021,Point Lance,2021A00051001225,Total - Population in private households,27.1,,x,,x
2021,Point Lance,2021A00051001225,Gini index on adjusted household market income,27.2,,x,,x
2021,Point Lance,2021A00051001225,Gini index on adjusted household total income,27.3,,x,,x
2021,Point Lance,2021A00051001225,Gini index on adjusted household after-tax income,27.4,,x,,x
